settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
3,-0.2495348996371578,-0.2703456092132561,1,0.1,30,0,-0.7947486842732703,0.14524579496700335,0.08333333333333333,-0.26774427051624383,0.09523809523809523,0.08333333333333333,2.0278441090719213,1.0255282922026323
9,-0.11835221519941874,0.11699927546134603,1,0.1,31,0,-5.783957060450618,1.6450785465939382,0.3333333333333333,0.028742466463559158,0.3095238095238095,0.3333333333333333,1.7347724008295877,0.019182819424013047
-1,,,1,0.1,32,0,0.23542472423849015,0.057357516151166354,0.041666666666666664,0.00018436879541594564,0.023809523809523808,0.041666666666666664,1.9924051804041911,1.2771678693750215
13,-0.12922151776833646,-0.0789128163439361,1,0.1,33,1,1.4472178161232219,1.058934437398633,0.0,-0.1061633629488199,0.0,0.0,1.6515622722437409,0.4820362946320033
-1,,,1,0.1,34,0,0.2278290299121566,0.03460410381985438,0.16666666666666666,0.0012169312316734349,0.16666666666666666,0.16666666666666666,1.9996834927688087,1.3387243670808118
-1,,,1,0.1,35,1,0.8112929919754109,0.5897676056678135,0.16666666666666666,0.00945644195989681,0.14285714285714285,0.16666666666666666,2.0691493702265293,0.893549510370548
-1,,,1,0.1,36,1,1.0511323997341169,0.48056047682544345,0.125,-0.0749206954312085,0.11904761904761904,0.125,2.0728266166752203,0.8893770211018076
-1,,,1,0.1,37,0,-1.074112070194484,0.1412618336496811,0.16666666666666666,-0.037424269176316693,0.14285714285714285,0.16666666666666666,1.9805137025143686,1.2443441270629956
-1,,,1,0.1,38,0,-0.6499331756783711,0.054139704840613465,0.20833333333333334,-0.023635017667964053,0.21428571428571425,0.20833333333333334,2.005937686145494,1.3249756324318396
-1,,,1,0.1,39,1,0.6233368551934,0.19386590218048907,0.0,-0.02931688492946538,0.0,0.0,1.973953845822125,1.069891178668437
1,,,2,1.0,0,1,1.587863432887701,1.587863432640216,0.16666666666666666,0.2806826106035156,0.09523809523809523,0.16666666666666666,2.4926131560166547,2.4920343518383e-10
1,,,2,1.0,1,1,1.5273162245876055,1.5273162245829417,0.625,0.3048769807620739,0.5952380952380952,0.625,1.9767622708940942,5.931621672522126e-14
1,,,2,1.0,2,1,1.6170795926522574,1.6170795878868376,0.625,0.22063299314823914,0.7142857142857143,0.625,2.229971078773313,4.894196582629226e-09
2,0.0923568612553638,0.048284078436079625,2,1.0,3,1,1.1956662215102956,1.1956662215069898,0.20833333333333334,0.05195681033768684,0.14285714285714285,0.20833333333333334,2.4913917018028475,4.9266681542863474e-17
2,-0.19991674496238443,0.2742962401365572,2,1.0,4,1,1.2559558926859997,1.2559558920738199,0.2916666666666667,0.23477849137831197,0.3333333333333333,0.2916666666666667,2.489314806356148,6.373110418706682e-10
1,,,2,1.0,5,1,1.2153580979706757,1.2153580979673022,0.2916666666666667,0.031972155212996345,0.3095238095238095,0.2916666666666667,1.3348827172425073,2.2235286816247666e-15
1,,,2,1.0,6,1,0.8456717720312814,0.8456717720224886,0.5833333333333334,0.2248549138051945,0.5476190476190477,0.5833333333333334,1.9324492308443695,6.862020122937013e-12
2,-0.046758580607666245,0.1271190976049701,2,1.0,7,1,1.4035076680193936,1.40350766801505,0.25,0.1126292910872504,0.2857142857142857,0.25,2.4405374136800133,2.818698766766708e-13
1,,,2,1.0,8,1,1.4490042100731428,1.4490042092550999,0.6666666666666666,0.09668978567684672,0.6190476190476192,0.6666666666666666,2.4406642929826683,8.422879466218465e-10
1,,,2,1.0,9,1,1.342955918681718,1.3429559186776894,0.625,0.33346529359096055,0.6428571428571429,0.625,2.442115915038048,2.047524349035091e-13
2,0.2875443178277002,0.42042784074416883,2,1.0,10,1,1.6481671649726322,1.6481671649674035,0.75,0.40935421383446324,0.7857142857142857,0.75,2.419875232846627,3.215229041800912e-14
1,,,2,1.0,11,1,1.5148853373098463,1.5148853373052897,0.6666666666666666,0.2454086483946143,0.6904761904761905,0.6666666666666666,2.499536755859594,7.415987414368035e-15
2,0.11160418225346169,0.09680512632561977,2,1.0,12,1,1.5160603097600405,1.5160603097312022,0.5,0.09803838098627327,0.47619047619047616,0.5,1.813662320751001,2.4990043922225993e-11
1,,,2,1.0,13,1,1.489764936113985,1.4897649361095433,0.0,0.39039229821030397,0.0,0.0,2.4999694147863623,5.81870733464014e-15
1,,,2,1.0,14,1,1.431715688985774,1.4317156889815883,0.0,0.38777010671362466,0.0,0.0,2.5517023437485533,5.109746339045822e-17
1,,,2,1.0,15,1,1.4088821199434283,1.408882119928913,0.20833333333333334,0.18722609486388153,0.16666666666666669,0.20833333333333334,2.3941373058656614,1.075866236421123e-11
1,,,2,1.0,16,1,1.279244493939369,1.279244493935682,0.08333333333333333,0.18753328471748176,0.047619047619047616,0.08333333333333333,2.495638581961496,9.613889754372161e-14
1,,,2,1.0,17,1,1.2083234003487733,1.2083234003450745,0.7916666666666666,0.5015469206020039,0.7619047619047619,0.7916666666666666,2.0923106934349467,3.646108670435557e-13
5,0.1140233469869818,0.1945304368122307,2,1.0,18,1,1.2452055621122957,1.245205561554086,0.5,0.1777581264319703,0.4523809523809524,0.5,2.484088730028835,5.811369704712074e-10
2,0.026821916489209174,0.29526673839191875,2,1.0,19,1,1.5992884764701336,1.5992884713222362,0.6666666666666666,0.272896336566693,0.7142857142857143,0.6666666666666666,2.141906713484648,5.299979022771285e-09
1,,,2,1.0,20,1,1.068405847397869,1.0684058473949523,0.4583333333333333,0.2668925908580042,0.45238095238095244,0.4583333333333333,2.5968285968002585,6.189857541260408e-15
