regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,regime_aware,0.0,0.9,0.6,2,0,0.7330856192618636,1.0887088433787815,0.6733532327952348,2.3662071866183543,0.0
symmetric,regime_aware,0.0,0.9,0.6,2,1,0.7154030889242832,1.0887088433787815,0.6571114887833988,2.7819319502892372,0.0
symmetric,regime_aware,0.0,0.9,0.6,2,2,0.806929457783529,1.0887088433787815,0.7411802179168886,2.708981260737545,0.0
symmetric,regime_aware,0.0,0.9,0.6,2,3,0.7477420996346076,1.0887088433787815,0.6868154917470939,2.446619999959762,0.0
symmetric,regime_aware,0.0,0.9,0.6,2,4,0.7369592224657825,1.0887088433787815,0.6769112117971298,2.6977902140502374,0.0
symmetric,regime_aware,0.0,0.9,0.6,2,5,0.6118881902988091,1.0887088433787815,0.5620310646139596,2.069593765018864,0.0
symmetric,regime_aware,0.1,0.9,0.6,0,0,0.8511654049937339,1.0887088433787815,0.7818117857407705,1.8241816176392307,0.1225
symmetric,regime_aware,0.1,0.9,0.6,0,1,0.8343854189065469,1.0887088433787815,0.766399045971788,1.7042168150298174,0.1225
symmetric,regime_aware,0.1,0.9,0.6,0,2,0.8012609885241502,1.0887088433787815,0.7359736199418168,2.236393496472389,0.1225
symmetric,regime_aware,0.1,0.9,0.6,0,3,0.8197189428243942,1.0887088433787815,0.7529276057686978,2.4049016952761093,0.1225
symmetric,regime_aware,0.1,0.9,0.6,0,4,0.8153796731146657,1.0887088433787815,0.7489419031300919,2.310824974610202,0.1225
symmetric,regime_aware,0.1,0.9,0.6,0,5,0.7069051770348557,1.0887088433787815,0.6493059933645736,2.1400379258031847,0.1225
symmetric,regime_aware,0.1,0.9,0.6,1,0,0.8641840074266514,1.0887088433787815,0.7937696223213153,1.902021810028029,0.105
symmetric,regime_aware,0.1,0.9,0.6,1,1,0.8324911523115743,1.0887088433787815,0.7646591256923736,1.6768133870511595,0.105
symmetric,regime_aware,0.1,0.9,0.6,1,2,0.8616173868415595,1.0887088433787815,0.7914121319778673,1.5026800574261787,0.105
symmetric,regime_aware,0.1,0.9,0.6,1,3,0.8178949169688678,1.0887088433787815,0.7512522029586448,2.1136895764571775,0.105
symmetric,regime_aware,0.1,0.9,0.6,1,4,0.708211714762317,1.0887088433787815,0.6505060733817493,1.4393528495571686,0.105
symmetric,regime_aware,0.1,0.9,0.6,1,5,0.8396902244289564,1.0887088433787815,0.771271611814044,2.4481318412520494,0.105
symmetric,regime_aware,0.1,0.9,0.6,2,0,0.9588450384901467,1.0887088433787815,0.8807175989444472,1.528648210304661,0.08
