arm,p_divergence,seed_rep,observer,latent,declared,diverged,latent_correct,declared_correct,self_report_correct,recovered_mu,mu_entropy,subgoal_entropy,final_entropy,artifact_trace_kl
human_unaware,0.0,0,30,0,0,0,1,1,1,1.9747318492820631,1.097978988096802,1.38574484132837,1.165693094193014,0.47930958094068843
human_unaware,0.0,0,31,0,0,0,1,1,1,1.965087214357281,1.0974068529674295,1.3854271225696302,1.0104066768296343,0.47930958094068843
human_unaware,0.0,0,32,0,0,0,1,1,1,1.965659673408436,1.0974458567434648,1.3856722758243567,0.5816571646531125,0.47930958094068843
human_unaware,0.0,0,33,0,0,0,1,1,1,1.9776598622222843,1.0981168015830718,1.3858702269173657,0.4172227414539986,0.47930958094068843
human_unaware,0.0,0,34,0,0,0,1,1,1,1.9645791293407187,1.0973717034855355,1.3858790064678548,0.49067637624029514,0.47930958094068843
human_unaware,0.0,0,35,0,0,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3740244271237902,0.47930958094068843
human_unaware,0.0,0,36,0,0,0,1,1,1,1.9779036100140996,1.0981275177651322,1.385878128390062,1.088115215266751,0.47930958094068843
human_unaware,0.0,0,37,0,0,0,1,1,1,1.9788689638136623,1.098168815478822,1.3860390090024315,0.43522462818408353,0.47930958094068843
human_unaware,0.0,0,38,0,0,0,1,1,1,1.967380823182737,1.0975592985819507,1.3858394203460236,0.9237056787601179,0.47930958094068843
human_unaware,0.0,0,39,0,0,0,1,1,1,1.9654189753437938,1.0974295344461358,1.3856029410051571,0.9503338467553235,0.47930958094068843
human_unaware,0.0,0,40,0,0,0,1,1,1,1.9798709731101272,1.0982097490759801,1.3858699465193312,0.43215081749839374,0.47930958094068843
human_unaware,0.0,0,41,0,0,0,1,1,1,1.9509633648960445,1.096244242619981,1.3855590245808933,0.7199537507094715,0.47930958094068843
human_unaware,0.0,0,42,0,0,0,1,1,1,1.9814516005296419,1.09827031458074,1.3860524391560558,0.41225103636497235,0.47930958094068843
human_unaware,0.0,0,43,0,0,0,1,1,1,1.9482201218017654,1.0959739881264303,1.3856249271233276,0.669175056602151,0.47930958094068843
human_unaware,0.0,0,44,0,0,0,1,1,1,1.9640561393525484,1.0973350008150187,1.3856779481935588,0.5607868584801862,0.47930958094068843
human_unaware,0.0,0,45,0,0,0,1,1,1,1.9522782242302008,1.0963686698787862,1.3853381225284513,0.6533610017456318,0.47930958094068843
human_unaware,0.0,0,46,0,0,0,1,1,1,1.953771859311837,1.0965059935065142,1.3857416588057485,0.8728643812277017,0.47930958094068843
human_unaware,0.0,0,47,0,0,0,1,1,1,1.9735362498202123,1.0979178973967094,1.3856779504251315,1.0671263608132655,0.47930958094068843
human_unaware,0.0,0,48,0,0,0,1,1,1,1.9511525774625702,1.096262352154754,1.385296504835365,0.8864435729210105,0.47930958094068843
human_unaware,0.0,0,49,0,0,0,1,1,1,1.9645640085440392,1.0973706497637878,1.3858295111901056,0.8611567379706783,0.47930958094068843
human_unaware,0.0,0,50,0,0,0,0,0,1,1.9834229799722756,1.098338972371,1.3613034250194684,0.35025560315000265,0.47930958094068843
