half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,0,4,275,131.2532232160381,0.24224406809378574,0.003728243758804051,1.9127272727272728,,
starvation,starvation_only,0.0,0,4,300,142.7454671246834,0.2432242283303637,0.003685717879677746,1.9066666666666667,,
starvation,starvation_only,0.0,0,4,325,155.23776269261478,0.2441723313071157,0.003351935686826631,1.9138461538461538,,
starvation,starvation_only,0.0,0,4,350,169.2290131589128,0.24901476344089407,0.005171958448532502,1.937142857142857,,
starvation,starvation_only,0.0,0,4,375,181.2206726936888,0.2512383501205238,0.0034217160769597884,1.936,,
starvation,starvation_only,0.0,0,4,400,192.9623454320021,0.2441689784687823,0.003078936558358913,1.9325,,
starvation,starvation_only,0.0,0,5,25,8.738275863006272,0.0867036908328906,0.0503318949105962,1.4,,
starvation,starvation_only,0.0,0,5,50,17.728279230350946,0.05318495662053341,0.052273906482804965,1.42,,
starvation,starvation_only,0.0,0,5,75,29.72002439927345,0.12506751832321594,0.030400063484047193,1.5866666666666667,,
starvation,starvation_only,0.0,0,5,100,41.21277710575227,0.16405681182682255,0.014519028522982506,1.65,,
starvation,starvation_only,0.0,0,5,125,50.70487237938467,0.16731228307477575,0.010697609079572646,1.624,,
starvation,starvation_only,0.0,0,5,150,61.19646239004903,0.17687503053401077,0.006304047853618426,1.6333333333333333,,
starvation,starvation_only,0.0,0,5,175,70.68824901765352,0.17899932729754445,0.0034512275190573673,1.6171428571428572,,
starvation,starvation_only,0.0,0,5,200,80.42977257783161,0.17216199290444667,0.005546709602787219,1.61,,
starvation,starvation_only,0.0,0,5,225,90.42214511434096,0.19079633298683685,0.005109694100892197,1.6088888888888888,,
starvation,starvation_only,0.0,0,5,250,101.16483516076244,0.2081730930132936,0.004515372340301077,1.62,,
starvation,starvation_only,0.0,0,5,275,111.90695269823863,0.2189804879663072,0.00361062433255815,1.6290909090909091,,
starvation,starvation_only,0.0,0,5,300,126.39959642080925,0.2551977131861047,0.005970342779095043,1.6866666666666668,,
starvation,starvation_only,0.0,0,5,325,140.14301037085394,0.30917333187011065,0.009744300813758544,1.7261538461538461,,
starvation,starvation_only,0.0,0,5,350,153.38458009004646,0.3206248842720081,0.006043851631308301,1.7542857142857142,,
starvation,starvation_only,0.0,0,5,375,163.37585952758104,0.31857784361421,0.004160914929772079,1.744,,
starvation,starvation_only,0.0,0,5,400,174.61792323744146,0.3265299049720848,0.00410452336986526,1.7475,,
starvation,starvation_only,0.0,0,6,25,9.737239326250272,0.10553598863407426,0.03406878639220437,1.56,,
starvation,starvation_only,0.0,0,6,50,20.97858027125512,0.13673124804204428,0.02152908900672507,1.68,,
