omega,seed_rep,observer,foreign_goal,matches_foreign_goal,modal_goal,final_entropy,engaged_fraction,cum_deep
0.0,2,11,2,0,1,1.3576066049397266,0.0,10
0.0,2,12,2,0,0,1.3603500957486907,0.0,10
0.0,2,13,2,0,1,1.3671094310731364,0.0,10
0.0,2,14,2,0,0,1.3694792388802195,0.0,10
0.0,2,15,2,0,0,1.3715604908332777,0.0,10
0.0,2,16,2,0,3,1.335833513073041,0.0,10
0.0,2,17,2,1,2,1.375782917137259,0.0,10
0.0,2,18,2,1,2,1.3586652227103109,0.0,10
0.0,2,19,2,0,3,1.363913683827992,0.0,10
0.0,2,20,2,1,2,1.3600752123091815,0.0,10
0.0,2,21,2,0,0,1.3663696935925724,0.0,10
0.0,2,22,2,0,3,1.3724043887318107,0.0,10
0.0,2,23,2,0,0,1.373326696273042,0.0,10
0.0,2,24,2,1,2,1.3587223524966685,0.0,10
0.0,2,25,2,0,3,1.3819735645779374,0.0,10
0.0,2,26,2,0,0,1.343500772270155,0.0,10
0.0,2,27,2,0,3,1.3786599029067208,0.0,10
0.0,2,28,2,1,2,1.3672702051687828,0.0,10
0.0,2,29,2,0,0,1.3663480016084675,0.0,10
0.0,2,30,2,0,3,1.369141865437634,0.0,10
0.0,2,31,2,1,2,1.3717837736669392,0.0,10
0.0,2,32,2,1,2,1.3645094313396537,0.0,10
0.0,2,33,2,0,3,1.3452181433817436,0.0,10
0.0,2,34,2,0,3,1.3764587647558957,0.0,10
0.0,2,35,2,0,1,1.371822649103786,0.0,10
0.0,2,36,2,0,0,1.3574111019616142,0.0,10
0.0,2,37,2,1,2,1.3741930719524211,0.0,10
0.0,2,38,2,0,1,1.3595825752204138,0.0,10
0.0,2,39,2,0,0,1.3632133920613319,0.0,10
0.0,2,40,2,0,0,1.356598664524702,0.0,10
0.0,2,41,2,0,3,1.357796709443761,0.0,10
0.0,2,42,2,0,3,1.3673785224999122,0.0,10
0.0,2,43,2,0,0,1.3636532705542401,0.0,10
0.0,2,44,2,0,3,1.3709987899608773,0.0,10
0.0,2,45,2,0,1,1.3645015468923114,0.0,10
0.0,2,46,2,0,3,1.364133290084331,0.0,10
0.0,2,47,2,1,2,1.3639171156499974,0.0,10
0.0,2,48,2,0,3,1.3826552789968511,0.0,10
0.0,2,49,2,0,0,1.3675423545246164,0.0,10
0.0,2,50,2,1,2,1.3429323273008005,0.0,10
0.0,2,51,2,0,1,1.261427052934463,0.0,10
0.0,2,52,2,1,2,1.3732223744563066,0.0,10
0.0,2,53,2,0,1,1.3668520462914033,0.0,10
0.0,2,54,2,1,2,1.3805682124330185,0.0,10
0.0,2,55,2,0,0,1.3681259259680156,0.0,10
0.0,2,56,2,1,2,1.3775874213582453,0.0,10
0.0,2,57,2,0,1,1.3480099714261764,0.0,10
0.0,2,58,2,1,2,1.3694412053482246,0.0,10
0.0,2,59,2,0,1,1.3699822698580342,0.0,10
0.0,2,60,2,0,0,1.3732105532532266,0.0,10
0.0,2,61,2,0,0,1.3742088904464123,0.0,10
0.0,2,62,2,1,2,1.3844608487641255,0.0,10
0.0,2,63,2,0,0,0.6775451021969271,0.0,10
0.0,2,64,2,0,3,1.384639013963183,0.0,10
0.0,2,65,2,0,3,1.3411608214143238,0.0,10
0.0,2,66,2,1,2,1.3426972481200383,0.0,10
0.0,2,67,2,0,0,1.3678289448018441,0.0,10
0.0,2,68,2,0,0,1.3597147073310816,0.0,10
0.0,2,69,2,1,2,1.368853658708465,0.0,10
0.0,2,70,2,1,2,1.3589493300125384,0.0,10
0.0,2,71,2,1,2,1.3540267455244739,0.0,10
0.0,2,72,2,1,2,1.3818234677503058,0.0,10
0.0,2,73,2,0,0,1.3698538202290091,0.0,10
0.0,2,74,2,1,2,1.3276394133706815,0.0,10
