cell,t,meanfield_epistemic_total,exact_epistemic_total,epistemic_total_abs_error,meanfield_epistemic_goal,exact_epistemic_goal,epistemic_goal_abs_error,meanfield_pragmatic,exact_pragmatic,pragmatic_abs_error,joint_vs_product_kl
human work read correctly,20,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,3.3777478557814713e-26,3.3777478557814713e-26,0.0,-8.974036646991053,-8.974036646991053,0.0,5.994547780762069e-51
human work read correctly,21,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,7.342930121264092e-28,7.342930121264092e-28,0.0,-8.974036646991053,-8.974036646991053,0.0,6.788452267784345e-53
human work read correctly,22,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.5962891567965518e-29,1.5962891567965518e-29,0.0,-8.974036646991053,-8.974036646991053,0.0,2.3899786952586522e-56
human work read correctly,23,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,3.4701938191229406e-31,3.4701938191229406e-31,0.0,-8.974036646991053,-8.974036646991053,0.0,2.709038136077046e-58
human work read correctly,24,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,7.543899606788914e-33,7.543899606788914e-33,0.0,-8.974036646991053,-8.974036646991053,0.0,9.46466725570803e-62
human work read correctly,25,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.6399781753888972e-34,1.6399781753888972e-34,0.0,-8.974036646991053,-8.974036646991053,0.0,1.0716773585658253e-63
human work read correctly,26,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,3.565169946497676e-36,3.565169946497676e-36,0.0,-8.974036646991053,-8.974036646991053,0.0,3.7228599613639666e-67
human work read correctly,27,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,7.750369448907825e-38,7.750369448907825e-38,0.0,-8.974036646991053,-8.974036646991053,0.0,4.205874857995725e-69
human work read correctly,28,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.68486292367562e-39,1.6848629236756147e-39,5.22024357439882e-54,-8.974036646991053,-8.974036646991053,0.0,1.454698432002465e-72
human work read correctly,29,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,3.6627454862512973e-41,3.6627454862512973e-41,0.0,-8.974036646991053,-8.974036646991053,0.0,1.6388242903093624e-74
human work read correctly,30,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,7.96249018750301e-43,7.96249018750301e-43,0.0,-8.974036646991053,-8.974036646991053,0.0,1.84430429735356e-76
human work read correctly,31,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.730976127718028e-44,1.730976127718028e-44,0.0,-8.974036646991053,-8.974036646991053,0.0,2.0720864349220783e-78
human work read correctly,32,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,3.762991581995691e-46,3.762991581995691e-46,0.0,-8.974036646991053,-8.974036646991053,0.0,7.117216613006488e-82
human work read correctly,33,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,8.180416482599182e-48,8.180416482599143e-48,3.8893845486632136e-62,-8.974036646991053,-8.974036646991053,0.0,2.4425928234752359e-85
human work read correctly,34,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.778351409260754e-49,1.778351409260754e-49,0.0,-8.974036646991053,-8.974036646991053,0.0,2.7317526315735166e-87
human work read correctly,35,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,2.4009999915305882e-49,2.400999991530564e-49,2.4308653429145085e-63,-8.974036646991053,-8.974036646991053,0.0,7.482817350570177e-89
human work read correctly,36,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,5.2195651989794636e-51,5.2195651989794636e-51,0.0,-8.974036646991053,-8.974036646991053,0.0,8.353149427874072e-91
human work read correctly,37,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.1346880867346885e-52,1.1346880867346885e-52,0.0,-8.974036646991053,-8.974036646991053,0.0,2.8579517965210347e-94
human work read correctly,38,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,2.466713232031963e-54,2.4667132320319443e-54,1.8546030753437107e-68,-8.974036646991053,-8.974036646991053,0.0,9.772059737326808e-98
human work read correctly,39,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,5.362420069634571e-56,5.362420069634513e-56,5.795634610449096e-70,-8.974036646991053,-8.974036646991053,0.0,3.339328444665365e-101
human work read correctly,40,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.1657434933988127e-57,1.1657434933988036e-57,9.055679078826712e-72,-8.974036646991053,-8.974036646991053,0.0,1.140443193784347e-104
